OrderID,Date,Time,CustomerID,CustomerAge,CustomerGender,CustomerLocation,MenuItemID,MenuItemName,MenuItemCategory,MenuItemPrice,Quantity,TotalOrderPrice,PaymentMethod,OrderStatus,DiscountApplied,OrderDuration,ServerID,ServerRating,OrderType,CustomerFeedback,MenuItemRatings,PeakHour,Weekday,Season,PromoCodeUsed,SpecialRequests,LoyaltyPointsUsed,RefundedAmount,MenuItemIngredient,DietaryRestrictions,OrderChannel,TimeToServe
2d85d535-6e5f-4305-aa83-ec834a60e1d9,04-04-2022,00:59:54,efac4678-4e74-4e3e-a3b2-54c4c3b38057,27,Male,Lake Bradleyside,5a9af7fc-05ea-42ca-8213-c5900d11f37b,Sushi,Main Course,20.49,1,20.49,Cash,Completed,No,22,ff7f4714-78e4-418f-be21-fe7d6a006b3d,3.406834615,Dine-in,Take write trouble.,4.684167682,No,Wednesday,Winter,Yes,Popular item – add extra cheese,15,6.67945348,Fish,Gluten-Free,In-store,22
bf8a52ef-f330-40d0-a8ed-a80652bf7026,24-09-2023,14:21:54,57b7ea03-d810-4bca-9276-e8cd4450c329,27,Male,East Jacquelinestad,35ec09c2-80ab-476f-b922-365ec1c93a4c,Soup,Main Course,24.25,1,24.25,Cash,Completed,Yes,28,a3b8a1fc-e167-412a-a9ef-350f6ffbe4ad,2.80432327,Delivery,Crime will learn against put.,1.120644732,Yes,Wednesday,Summer,No,Popular item – add extra spice,7,11.66650317,Chicken,None,In-store,23
f90a0e33-ee7c-4f01-9425-797726790722,11-01-2024,13:13:00,fdc44f02-69c3-4a94-bc88-b2bb8eda1941,19,Female,East Hannah,4ee37c60-982e-4a8c-9c67-16043dabbc50,Pasta,Appetizer,11.49,5,57.45,Credit Card,Canceled,Yes,41,5366bb0b-ab70-441e-9e84-ffea3b0a8a32,3.415956798,Dine-in,Shoulder discussion we beautiful pick friend executive.,1.264587268,Yes,Sunday,Fall,No,Popular item – add extra cheese,8,0.048186118,Chicken,None,In-store,11
339db2b7-83dd-46cc-a4d9-0ccb4d56515f,04-12-2020,11:56:21,143af28a-5777-4a06-b8d7-df2883e276b2,34,Female,Piercechester,bb3edf07-92c5-4e47-b09d-5b89eb911a13,Pasta,Drink,18.25,2,36.5,Cash,Canceled,No,44,7dfc3825-ceb7-4061-82fb-799486d11e2a,4.456292601,Dine-in,Old measure move another ball race.,2.277293425,Yes,Saturday,Fall,Yes,Popular item – add extra crust,33,9.347170836,Pasta,Gluten-Free,App,21
e6155e4b-2fb9-4ba7-9cff-194481fc9cc7,17-07-2021,00:50:31,9fc2cb8c-f564-4594-90c4-fc31cd091900,51,Female,Bartlettbury,be62d388-9ca8-4735-a734-1b1c77409d1c,Sushi,Main Course,20.96,2,41.92,Credit Card,Canceled,Yes,23,60ca8c33-2080-4c05-8d05-b59b41bcbf7f,4.224654236,Takeaway,Test office yeah design.,4.710074633,No,Wednesday,Summer,Yes,Popular item – add extra sauce,10,3.172143378,Cheese,Gluten-Free,In-store,25
356f42bc-608b-46bb-b59b-be15f9fc4d29,22-09-2024,18:13:31,9557e4c8-d805-41df-976a-b8f9f70d6561,25,Male,West Cassandra,995373ca-7718-4e4f-8af8-f7d1565101af,Burger,Drink,20.92,3,62.76,Cash,Canceled,Yes,19,b0a3004b-df54-4658-a669-0aca1b791f6c,3.077406501,Takeaway,We pass with central create usually medical.,2.386912373,No,Monday,Fall,Yes,Location-based request – prefer mild flavor in West Cassandra,16,13.52032863,Chicken,None,Phone,16
06737ab4-783f-4fac-9c0f-2ab4fb767f15,10-05-2021,10:55:31,65ba96df-dd60-484a-8901-44d501ef0287,38,Male,Nicoleberg,234b0516-9959-4133-a03a-1402aeef74d6,Soup,Drink,25.86,1,25.86,Credit Card,Canceled,Yes,23,d6971737-904e-452d-b629-e24800278e90,3.673871457,Takeaway,Take citizen for floor range culture.,4.490529255,No,Sunday,Spring,No,Popular item – add extra cheese,36,0.494600565,Pasta,None,App,26
05664436-2d6e-4b62-af0c-9e52546e1a16,28-05-2022,13:04:40,6627e565-46fb-4fb1-8900-41cf7f27b5c6,79,Male,Batesshire,26499340-cfde-4545-ae7a-9f93a23affc8,Burger,Dessert,13.25,1,13.25,Credit Card,Pending,No,22,37f3d520-2dfa-4891-9f74-3109d4627d4a,1.33044198,Takeaway,Individual upon produce.,2.445341764,Yes,Friday,Summer,No,Location-based request – prefer mild flavor in Batesshire,47,13.89096488,Tofu,Dairy-Free,In-store,27
f72a1e57-2ecc-43d7-be01-fd3961d587a5,22-02-2025,07:52:33,acf4c06d-2a87-4c84-ab96-7c98b79f16a0,58,Male,North Karen,17bf61d5-5cd2-4dd2-9ddc-c324177a0767,Salad,Main Course,28.22,5,141.1,Credit Card,Canceled,No,30,19ef75b8-c5fe-4623-8b6c-378107061b0b,3.273377789,Dine-in,Director expert partner agree baby.,3.311550429,Yes,Thursday,Fall,No,Location-based request – prefer mild flavor in North Karen,4,0.278436683,Rice,Vegan,Phone,13
cc0026ba-54a2-42a4-83ac-75f537baa714,10-08-2023,00:54:40,af253230-5986-4901-aaef-24438f704332,29,Male,Lake Gary,2b9f5fb2-0b5e-42bb-bf64-f11e80e97e23,Burger,Dessert,14.93,4,59.72,Online Payment,Pending,No,10,4bf5e6e0-2b3f-4cf3-9789-a63e6c88e31e,1.456380878,Dine-in,Increase almost world training skill story buy computer.,3.292748908,No,Monday,Fall,Yes,Location-based request – prefer mild flavor in Lake Gary,31,11.27438684,Beef,Gluten-Free,App,22
